City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Lesozavodsk,RU,2020-08-23 16:47:46,45.48,133.42,62.1,94,79,4.09
278,Nauta,PE,2020-08-23 16:47:46,-4.51,-73.58,86.67,46,0,2.71
279,Salalah,OM,2020-08-23 16:47:47,17.02,54.09,77.0,100,90,5.82
280,Cabo San Lucas,MX,2020-08-23 16:43:54,22.89,-109.91,91.4,41,40,4.7
281,Fortuna,US,2020-08-23 16:47:47,40.6,-124.16,63.0,93,90,3.36
282,New Ulm,US,2020-08-23 16:47:47,44.31,-94.46,84.99,69,1,1.9
283,Oranjemund,NA,2020-08-23 16:47:47,-28.55,16.43,56.01,83,0,10.45
284,Pozo Colorado,PY,2020-08-23 16:47:47,-23.49,-58.8,63.68,63,99,6.55
285,Nanortalik,GL,2020-08-23 16:47:47,60.14,-45.24,47.32,78,4,3.0
286,Pacific Grove,US,2020-08-23 16:47:47,36.62,-121.92,59.0,93,4,3.0
287,Walvis Bay,NA,2020-08-23 16:47:48,-22.96,14.51,80.6,21,0,11.41
288,Yerbogachen,RU,2020-08-23 16:43:37,61.28,108.01,48.76,61,53,7.05
289,Ulladulla,AU,2020-08-23 16:47:48,-35.35,150.47,48.2,57,0,16.11
290,Sistranda,NO,2020-08-23 16:47:48,63.73,8.83,53.6,66,75,17.22
291,Isugod,PH,2020-08-23 16:47:48,9.34,118.12,79.95,76,100,3.76
292,Dembi Dolo,ET,2020-08-23 16:47:48,8.53,34.8,60.22,100,100,0.83
293,Homer,US,2020-08-23 16:47:49,59.64,-151.55,57.0,93,90,5.23
294,Kenai,US,2020-08-23 16:47:49,60.55,-151.26,57.2,82,75,3.36
295,Urucara,BR,2020-08-23 16:47:49,-2.54,-57.76,101.7,23,1,2.86
296,Kamenka,RU,2020-08-23 16:47:49,51.32,42.77,66.99,55,4,5.95
297,Husavik,IS,2020-08-23 16:47:49,66.04,-17.34,51.8,71,97,9.17
298,Jodhpur,IN,2020-08-23 16:47:49,26.29,73.03,89.69,60,5,1.19
299,Tefe,BR,2020-08-23 16:47:49,-3.35,-64.71,77.0,73,75,6.93
300,Kachiry,KZ,2020-08-23 16:47:50,53.07,76.1,57.78,77,37,4.7
301,Waiouru,NZ,2020-08-23 16:47:50,-39.48,175.67,41.74,96,95,8.59
302,Yazoo City,US,2020-08-23 16:47:50,32.86,-90.41,89.01,58,1,3.36
