City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Arraial Do Cabo,BR,66.97,few clouds,-22.97,-42.03,Pousada Porto Praia
143,Les Cayes,HT,80.29,light rain,18.2,-73.75,Villa Orphee
145,Bundaberg,AU,71.6,clear sky,-24.85,152.35,Takalvan Motel
146,Chapais,CA,66.2,overcast clouds,49.78,-74.85,Hôtel Opémiska
150,Sola,VU,81.7,light rain,-13.88,167.55,Leumerus Bungalows
152,Vaitape,PF,78.4,light rain,-16.52,-151.75,Conrad Bora Bora Nui
153,Kamaishi,JP,82.4,broken clouds,39.27,141.88,Hotel Route Inn Kamaishi
154,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
157,Sioux Lookout,CA,69.8,scattered clouds,50.1,-91.92,Knobby's Fly-In Camps
160,Hachinohe,JP,77.0,broken clouds,40.5,141.5,Hachinohe Grand Hotel
161,Ribeira Grande,PT,73.71,overcast clouds,38.52,-28.7,Quinta da Meia Eira
167,Ferkessedougou,CI,70.56,overcast clouds,9.6,-5.2,Hotel Chateau
171,Vila Franca Do Campo,PT,73.4,few clouds,37.72,-25.43,Pestana Bahia Praia
172,Ibra,OM,81.3,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
173,Touho,NC,72.48,few clouds,-20.78,165.23,Auberge Timay Evasion
176,Bethel,US,77.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
182,Beyneu,KZ,69.26,overcast clouds,45.32,55.2,NUR
187,Praia,CV,80.6,broken clouds,14.92,-23.51,LT Aparthotel
